Title,Rating,Votes,Duration
141. Witchboard,7.6,88,1h 55m
142. Succubus,3.5,829,1h 36m
143. Out Come the Wolves,4.7,1.4,1h 26m
144. Queen of Bones,7.2,58,1h 30m
145. Operation Blood Hunt,3.5,460,1h 33m
146. Black Cab,4.2,1.6,1h 28m
147. Curse of the Sin Eater,4.9,723,1h 30m
148. Cinderella's Revenge,3.7,1.1,1h 25m
149. Model House,4,1.1,1h 25m
150. Dan Da Dan: First Encounter,8.2,2.6,1h 23m
151. Mononoke the Movie: The Phantom in the Rain,6.8,1.2,1h 29m
152. Killer Body Count,4.7,635,1h 49m
153. Anaconda,4.9,603,1h 24m
154. Heresy,6.9,277,1h 1m
155. Rippy,4.1,823,1h 23m
156. Dead Talents Society,7.4,808,1h 45m
157. Sunrise,3.8,998,1h 33m
158. Latency,4.2,1.7,1h 34m
159. Devils Stay,4.8,256,1h 35m
160. Crescent City,3.9,1.3,1h 43m
161. Cloud,6.3,912,2h 3m
162. The Girl Who Wore Yellow Lace,4.6,15,1h 22m
163. Unspeakable: Beyond the Wall of Sleep,5.9,39,1h 30m
164. Ick,5.6,197,1h 27m
165. DarkGame,4.6,2.8,1h 40m
166. Mutants of Nature Cove,3.6,148,1h 28m
167. Hell Hole,4.4,1.3,1h 32m
168. Butchers Book Two: Raghorn,4.1,542,1h 28m
169. #AMFAD: All My Friends Are Dead,4.4,1.2,1h 31m
170. The Ghost,7.4,75,1h 32m
171. Here After,4.1,1.3,1h 33m
172. Murder Mubarak,5.8,51000,2h 20m
173. Are You There?,7,45,1h 28m
174. Kryptic,6.3,95,1h 36m
175. Anatema,4.2,186,1h 31m
176. Parvulos,6.7,286,1h 59m
177. Terminator: Skynet Rising,6.9,260,1h 28m
178. Bloodline Killer,3.8,4.4,1h 45m
179. Grave Torture,6.2,2.8,1h 57m
180. Stereoscope,4.1,100,1h 31m
181. The Severed Sun,6.7,37,N/A
182. Cellphone,3,697,1h 28m
183. Conjuring the Cult,5.7,819,1h 33m
184. Drive Back,4.7,291,1h 34m
185. Slay,6.5,1.1,1h 39m
186. Beezel,4.8,1.3,1h 21m
187. Butchers Book Three: Bonesaw,5.5,69,1h 47m
188. The American Backyard,6.3,146,1h 47m
189. Krazy House,4.8,1.4,1h 29m
190. Hauntology,3.7,347,1h 43m
191. X Files,1.9,61,1h 14m
192. The Hangman,3.3,990,1h 32m
193. Amityville: Where the Echo Lives,1.6,273,1h 29m
194. (Pri)sons,5.1,259,1h 40m
195. Please Don't Feed the Children,5.5,67,1h 34m
196. American Terror Tales 3,2.2,35,58m
197. You Shall Not Sleep Tonight,4.1,340,1h 17m
198. Believer,4.5,362,1h 48m
199. The Vampire Next Door,4.6,750,1h 50m
200. Chime,6.4,2.2,45m
201. I Heart Willie,6.1,93,1h 28m
202. Possession: Kerasukan,3.5,276,1h 34m
203. The Ceremony Is About to Begin,4.6,494,1h 10m
204. Invasive,5.6,671,1h 37m
205. Monster on a Plane,5.5,2.3,1h 28m
206. Frankie Freako,5.6,1000,1h 25m
207. Within the Pines,7.5,6,1h 13m
208. Salve Maria,6.4,441,1h 51m
209. Spring Garden,4.4,167,1h 30m
210. What Lurks Beneath,4.4,772,1h 42m
211. The Killgrin,7.9,15,1h 23m
212. 12 to Midnight,3.6,277,1h 36m
213. We Are Wolves,3.5,256,1h 37m
214. Tantra,5.5,2.3,2h 16m
215. Bad Fish,3.4,312,1h 24m
216. Desert Road,6.7,154,1h 30m
217. The Monster Beneath Us,5.8,412,1h 43m
218. Test Screening,6.9,64,1h 32m
219. Till Death Do Us Part,6.2,269,1h 48m
220. Bystanders,3.9,267,1h 22m
221. Drained,4.6,296,1h 47m
222. American Werewolf,2.9,103,1h 7m
223. Went Up the Hill,6.8,76,1h 40m
224. Fierce Killer Marsupial,2.6,34,1h 26m
225. Good Neighbours,3.1,164,1h 24m
226. The Candy Store,4.1,73,1h 26m
227. Festival of the Living Dead,4.3,628,1h 28m
228. Spiders on a Plane,5.6,362,1h 18m
229. The Bunker,7.1,44,1h 32m
230. Operation Undead,4.6,369,1h 50m
231. The Containment,4.7,9,N/A
232. Dead Mail,6.7,279,1h 46m
233. Staycation,7.1,102,1h 34m
234. Thaghut,5.8,276,1h 42m
235. Night Talkers,4.1,86,1h 29m
236. The Demon Disorder,4.8,1.3,1h 26m
237. Turno Nocturno,5.8,230,1h 47m
238. Whisper of the Witch,3.9,324,1h 35m
239. Room Service,3.9,292,47m
240. Replicator,4.1,119,1h 15m
241. Last Night at Terrace Lanes,4.4,616,1h 15m
242. Pesadilla,6.7,44,1h 52m
243. Lost Angels,7.1,21,1h 36m
244. Dominion of Darkness,5.7,755,1h 36m
245. Sketch,8.3,42,1h 32m
246. Devon,2.6,286,1h 12m
247. Perewangan,5.6,114,1h 49m
248. A Desert,6.2,155,1h 43m
249. Consumed,3.7,582,1h 29m
250. Peripheral,9.4,22,1h 28m
251. Camp Pleasant Lake,3.3,2.4,1h 30m
252. Steamboat Willie: Blood on the Water,N/A,N/A,N/A
253. Unnatural,5.1,90,1h 44m
254. Do Not Enter,5.3,534,1h 25m
255. True Fear,4.5,261,1h 32m
256. Tsunami Sharks,3.2,54,1h 10m
257. Down Below,2.8,182,1h 33m
258. Else,6.1,228,1h 40m
259. Silent Bite,3.7,488,1h 30m
260. The Exorcism of Saint Patrick,3.6,157,1h 30m
261. Shark Exorcist 2: Unholy Waters,3.7,123,1h 14m
262. Destroy All Neighbors,5.3,2000,1h 25m
263. Death's Sonata,7.5,258,1h 43m
264. Somnium,8.5,40,1h 32m
265. Remnant,2.6,315,1h 52m
266. Black,7.1,2.7,1h 55m
267. The Legend of Lake Hollow,3.7,489,1h 28m
268. The Clock,3.4,25,1h 20m
269. The Witch: Revenge,5.3,779,1h 40m
270. The Forbidden Camp: Mass Possession,6.2,258,1h 52m
271. Another Cabin in the Woods Movie,4.7,192,1h 17m
272. Monster Mash,3.5,412,1h 25m
273. Stupid Games,4.2,374,1h 26m
274. The Buildout,4.2,72,1h 10m
275. Kakuda,5.3,6.3,1h 56m
276. Solvent,7.3,385,N/A
277. Crackcoon,3.6,403,1h 28m
278. The Yorkie Werewolf,6.3,63,N/A
279. Handsome Guys,6.5,765,1h 41m
280. Wineville,4.3,221,1h 40m
281. Rise of the Crimson Butcher,5.6,48,N/A
282. What Happened to Suzy,6.5,65,1h 34m
283. Horror in the High Desert 3: Firewatch,5.4,701,1h 28m
284. Haunt Season,4.9,761,1h 21m
285. Last Stop: Rocafort St.,4.1,450,1h 29m
286. Strange Frequencies: Taiwan Killer Hospital,7.9,36,1h 31m
287. The Shadow,6.5,245,1h 30m
288. There's a Zombie Outside,7,34,1h 15m
