Title,Rating,Votes,Duration,genre
118. The Price of Money: A Largo Winch Adventure,5.0,1.1,1h 40m,action
119. Death Whisperer 2,6.4,1.3,1h 50m,action
120. The Roundup: Punishment,6.6,5.1,1h 49m,action
121. Joe Baby,7.9,28.0,1h 26m,action
122. Kill Em All 2,4.1,1.3,1h 28m,action
123. Sikandar Ka Muqaddar,6.0,24000.0,2h 22m,action
124. Uprising,6.6,5.3,2h 6m,action
125. Duchess,4.6,1.2,1h 54m,action
126. Bougainvillea,6.4,3000.0,2h 18m,action
127. Viduthalai Part 2,8.0,16000.0,2h 50m,action
128. Badland Hunters,5.9,12000.0,1h 47m,action
129. My Hero Academia: You're Next,7.0,1.9,1h 50m,action
130. Simarik,6.4,2.4,1h 51m,action
131. Devara Part 1,6.0,20000.0,2h 56m,action
132. Karma,8.1,1.4,2h 47m,action
133. Article 370,7.8,25000.0,2h 38m,action
134. The Fix,4.6,1.1,1h 38m,action
135. City Hunter,6.3,5.5,1h 42m,action
136. One More Shot,5.4,3.6,1h 43m,action
137. Officer Black Belt,6.8,8000.0,1h 48m,action
138. The Courier,6.0,4.3,1h 41m,action
139. Levels,5.0,1.5,1h 33m,action
140. Darkness of Man,4.8,3.1,1h 49m,action
141. Khadaan,7.4,2000.0,2h 17m,action
142. The Tiger's Apprentice,5.7,2.1,1h 24m,action
143. The Wages of Fear,4.6,4000.0,1h 44m,action
144. The Twisters,2.5,315.0,1h 26m,action
145. Air Force One Down,4.4,2.8,1h 24m,action
146. Mafia Wars,3.4,218.0,1h 34m,action
147. Ultraman: Rising,6.9,6.2,1h 57m,action
148. The Prosecutor,6.8,1.4,1h 57m,action
149. Lights Out,4.9,1.8,1h 30m,action
150. Striking Rescue,5.6,357.0,1h 46m,action
151. The Quiet Ones,6.5,547.0,1h 50m,action
152. One Fast Move,5.0,2.2,1h 48m,action
153. Fighter,6.2,52000.0,2h 46m,action
154. Justice League: Crisis on Infinite Earths - Part Two,5.5,5.2,1h 34m,action
155. Angels Fallen: Warriors of Peace,4.9,5.8,1h 43m,action
156. The Lost Tiger,7.8,39.0,1h 30m,action
157. The Family Star,5.4,5.4,2h 39m,action
158. Pani,6.9,2.8,2h 23m,action
159. Yolo,6.9,3.6,2h 9m,action
160. Snow White and the Seven Samurai,3.2,272.0,1h 28m,action
161. Agent Recon,2.4,663.0,1h 25m,action
162. Panda Plan,5.1,1.1,1h 39m,action
163. Operation Blood Hunt,3.5,460.0,1h 33m,action
164. Freedom,5.9,1.3,1h 50m,action
165. Life After Fighting,6.4,1.9,2h 6m,action
166. Jigra,6.0,23000.0,2h 33m,action
167. Dan Da Dan: First Encounter,8.2,2.6,1h 23m,action
168. Saripodhaa Sanivaaram,7.0,8.9,2h 46m,action
169. Harbin,6.5,504.0,1h 48m,action
170. Anaconda,4.9,603.0,1h 24m,action
171. Golden Kamuy,6.3,2.5,2h 7m,action
172. Die Hart 2: Die Harter,4.3,5.4,1h 32m,action
173. Kahar: Kapla High Council,7.0,443.0,1h 42m,action
174. Max,7.1,3.2,2h 12m,action
175. Latency,4.2,1.7,1h 34m,action
176. The Clean Up Crew,4.1,1.1,1h 35m,action
177. Murder Company,3.7,1.5,1h 26m,action
178. Cloud,6.3,910.0,2h 3m,action
179. Utopia,3.6,345.0,1h 31m,action
180. Rats!,7.9,80.0,1h 25m,action
181. Sixty Minutes,5.7,5.1,1h 28m,action
182. Elyas,6.1,1.3,1h 45m,action
183. Echo 8,3.9,178.0,1h 36m,action
184. The Last Kumite,4.6,2.3,1h 45m,action
185. Alienoid: The Return to the Future,6.5,2.5,2h 2m,action
186. Wanted Man,4.8,2.5,1h 25m,action
