Title,Rating,Votes,Duration
139. 10 Days of a Curious Man,5.8,1.2,1h 50m
140. Haze,6.9,43,1h 16m
141. Paranoia,4.2,356,1h 35m
142. The Stalking,4,35,1h 12m
143. Seeds,6.7,56,1h 22m
144. Carnage for Christmas,4.5,338,1h 9m
145. Naam,6.4,274,2h 16m
146. You Will Die in 6 Hours,4.9,254,1h 31m
147. In Our Blood,6.9,47,1h 29m
148. Its Name Was Mormo,3.6,113,1h 33m
149. The Yin Yang Master Zero,5.7,257,1h 52m
150. Hunting Matthew Nichols,9,44,1h 36m
151. Detective Conan: The Million-Dollar Pentagram,6.8,1.4,1h 51m
152. Secret,3.8,759,1h 59m
153. Killer Influence,2.8,251,1h 24m
154. A Coffin of Stars,N/A,N/A,1h 40m
155. Sheriff,6.9,1.1,2h 13m
156. Clownface 3,10,34,1h 44m
157. Rakshana,5.5,1.1,2h 19m
158. Not Your Average Family,5.6,106,1h 37m
159. Free Falling,5.2,289,1h 29m
160. Who Killed Terrance Brown?,N/A,N/A,1h 35m
161. Hunting Daze,6.1,451,1h 19m
162. A Stranger in the Woods,4.1,464,1h 24m
163. Transamazonia,6.2,60,1h 52m
164. What Happens in Miami,4.3,218,1h 30m
165. Campton Manor,3.4,219,1h 23m
166. Shark Island,4,114,1h 21m
167. Algiers,7.8,46,1h 33m
168. Prasanna Vadanam,6.6,532,2h 26m
169. You Are Not Alone,6.2,61,1h 45m
170. Like Aani Subscribe,7.4,6.2,2h 20m
171. Simbaa,6,2.2,2h 1m
172. Dancing Village: The Curse Begins,5.7,4.1,2h 2m
173. Bato: Road to Death,5.3,770,2h 17m
174. Grayson's Encounter,7.3,22,1h 10m
175. Gaami,6.4,2000,2h 27m
176. The Epidemic,5.8,69,1h 35m
177. Granny,N/A,N/A,40m
178. A Stranger's Child,5.3,132,1h 28m
179. Shigatsu ni nareba kanojo wa,6.2,419,1h 48m
180. Buying Time,7,259,1h 24m
181. Daft State,6.4,42,18+
182. The Temp,5.6,46,N/A
183. Karina,6.9,16,1h 31m
184. Murder and Cocktails,4,357,1h 28m
"185. Silent Night, Bloody Night 3: Descent",3.8,163,1h 40m
186. Dark Feathers: Dance of the Geisha,6.2,843,1h 33m
187. Dead Man,5.1,205,1h 49m
188. Andhagan,6.7,1.2,2h 22m
189. Backfire,N/A,N/A,N/A
190. Vina: Before 7 Days,5.4,573,1h 40m
191. Drive,5.7,313,1h 30m
192. Vertical,5.2,118,1h 51m
193. DNA,5.2,209,2h 36m
194. 9 Windows,3.6,303,1h 22m
195. At Her Feet,7.5,40,1h 40m
196. Oshi no Ko: The Final Act,7.7,94,2h 9m
197. Tenant,4.4,212,1h 39m
198. Kizumonogatari: Koyomi Vamp,7,82,2h 24m
199. A Thousand Cuts,N/A,N/A,N/A
200. 200KG Vampire,5.2,28,1h 33m
201. House of Lies,3.7,184,1h 22m
202. Lunacy,5,60,1h 17m
203. Snow Valley,2.8,336,1h 15m
204. Ithuvare,5.6,26,2h 9m
205. The Ugly,N/A,N/A,N/A
206. Bodiless,5.7,991,1h 30m
207. The Ruse,8.1,102,1h 45m
208. A Song from the Dark,4.8,2.2,1h 45m
209. Burning Butterflies,6.8,25,1h 43m
210. Pogumidam Vegu Thooramillai,7.4,3.9,2h 13m
211. Passages of Nexus,6.3,185,1h 48m
212. To Kill a Wolf,8.8,35,1h 32m
213. Unknown Caller,7.3,28,1h 3m
214. Cheat,4.1,188,1h 45m
215. Suspect,4.5,79,1h 34m
216. The Night Curse of Reatrei,4.5,113,1h 35m
217. A Strange House,5.5,310,1h 50m
218. Guess Who,4.8,364,1h 33m
219. Tell No Lies,5.1,244,1h 44m
220. Dismissed,8.6,40,1h 31m
221. Live or Dead: The García File,6.3,86,1h 24m
222. Beline,5.6,1.3,1h 28m
223. I Married as the Replacement Bride,7.3,30,N/A
224. Kondal,5.4,762,2h 27m
225. Mannequin,5.7,105,N/A
226. Perfect Blue,7.4,5,N/A
227. Dr. Jason II - Lights & Shadows,5.3,291,1h 2m
228. When Autumn Comes,N/A,N/A,1h 21m
229. Doctor X: The Movie,7.8,45,2h 8m
230. Ranam Aram Thavarel,5.9,802,2h 1m
231. 7/G,4.5,638,2h 20m
232. Final Girl: Halloween,4.6,106,1h 25m
233. Foreclosure 2,3.5,101,1h 17m
234. The Unseen Sister,5.9,773,1h 52m
235. Rukhwat,8.7,8,1h 57m
236. Pride,8.9,10,2h 5m
237. The Last Chainsaw Massacre,4,38,1h 15m
238. Water Horse,6,239,1h 25m
239. Octopus with Broken Arms,6.2,153,1h 49m
240. First Nights at Freddy's,9.3,15,1h 38m
241. Anno 2020,8.6,24,2h 25m
242. The Legend of the Vagabond Queen of Lagos,8,28,1h 40m
243. Flesh of the Unforgiven,9.1,39,1h 28m
244. Hunters on a White Field,4.9,444,1h 40m
245. Take Good Care,N/A,N/A,1h 41m
246. The Sintern,4.7,155,1h 38m
247. Videotheque,6.1,98,1h 52m
248. The Well,4.6,13,N/A
249. Døde menn går på ski,5.5,188,1h 29m
250. Next to Us,4.9,220,2h 5m
251. Behave,3,137,1h 28m
252. The Star City Murders,4.1,141,1h 19m
253. Chithini,6,551,2h 31m
254. Cidade; Campo,6.3,135,1h 59m
255. Rautu Ka Raaz,6.3,1.9,1h 54m
256. Black.White.Red.,7.8,24,1h 33m
257. Agastya - Chapter 1,6.9,594,2h 48m
258. Cold Blows the Wind,5.1,353,1h 25m
259. Waterdrop,7.2,36,1h 30m
260. Sam and Colby: The Legends of the Paranormal,4.8,303,1h 38m
261. The Box,3.7,70,1h 19m
262. Amityville Turkey Day,2.7,303,1h 34m
263. Ten Toes Down,8,31,N/A
264. The Gatekeeper,5.3,18,1h 37m
265. LasseMajas detektivbyrå - Maskoten som försvann,6,54,1h 30m
266. The Fall of 2008,N/A,N/A,1h 1m
267. Zateryannye,5.9,195,1h 30m
268. The Birthday Boy,8.8,3000,1h 58m
269. Haunting Trophies,7.7,65,2h 30m
270. Aftermath,5.4,4.4,1h 18m
271. The Washer,7.5,9,1h 30m
272. The Land of Morning Calm,6.1,19,1h 53m
273. Room 0,3.1,209,1h 42m
274. My Husband Hired a Hitman,4.7,86,1h 32m
275. Daitya,N/A,N/A,1h 41m
276. Insane Like Me?,4.5,54,1h 26m
277. Athomugam,6.9,629,2h 10m
278. Danyang Mahar Tukar Nyawa,6.5,7,1h 50m
279. PinkCity: A Psychedelic Meditation,N/A,N/A,1h 35m
280. The Hunter's Anthology: The Demon Hunter,5,95,2h 6m
281. This Land of Mine,8,5,1h 30m
282. Scopophobia,5.8,45,1h 40m
283. Widowbird,N/A,N/A,1h 25m
284. While You Were Sleeping,6.1,159,1h 39m
285. Zim Zim Ala Kazim,3.5,107,1h 40m
286. Treasures of Terror Vol 1,4.3,18,N/A
287. The Secret of Pin-Up Island,7.4,92,1h 47m
288. The Haunting of Hollywood,7.3,265,1h 25m
289. Inquietus,N/A,N/A,N/A
290. Welcome to the Game,5.8,61,1h 30m
291. A Cold Grave,3.5,270,N/A
292. The Apocalypse Box,3.3,237,1h 26m
293. Vikaasaparva,8.7,540,2h 14m
294. Tale of the Land,6.2,11,1h 39m
295. DreadClub: Vampire's Verdict,5.1,56,N/A
296. Muroi Shinji: Yaburezaru Mono,7.7,7,1h 55m
297. Uninvited,6.7,70,1h 33m
298. Huggin Molly,6,76,54m
299. O Clube das Mulheres de Negócios,4.9,94,1h 35m
300. Best Man Dead Man,6.9,8,1h 23m
301. Malam Keramat,6.2,27,1h 30m
302. Wishes of the Blue Girl,4.4,371,1h 13m
303. Hello Neighbor,7.9,15,N/A
304. Raktaksha,8.4,1.4,1h 58m
305. A Herança,6.4,56,1h 20m
306. Advent,7.5,6,1h 59m
307. Dream Thief,N/A,N/A,N/A
308. Kuramerukagari,5.8,79,1h 1m
309. Ruki vverkh!,5.5,243,1h 42m
310. Flashlight,4.2,11,1h 17m
311. Blue Christmas,5.8,20,1h 19m
312. Portraits,4.9,44,1h 22m
313. Fidan,7.6,64,N/A
314. Saka Perawan,5,53,1h 31m
315. Anak Perjanjian Syaitan 2,6.6,32,1h 29m
316. Miss PJ,5.3,65,1h 55m
317. Tilottoma,8.4,23,1h 38m
318. A Girl Upstairs,6.6,45,1h 30m
319. The Whisper Within the Woods,7.7,22,N/A
320. Four Nights in Fear Forest,N/A,N/A,N/A
321. Cora,6.4,19,N/A
322. The Mermaid,N/A,N/A,1h 45m
323. The Women in the Lakes,4.9,26,2h 21m
324. Dindin,N/A,N/A,1h 16m
325. Perfumed with Mint,6.2,22,1h 51m
326. Shri Swapankumarer Badami Hyenar Kobole,5.6,323,2h 26m
327. Nico,8.3,43,1h 49m
328. Teddiscare,2.1,159,1h 22m
