Title,Rating,Votes,Duration
141. Boneyard,4.1,4.9,1h 36m
142. Humane,5.5,7000,1h 33m
143. The Calendar Killer,5.4,4000,1h 37m
144. Take Cover,5.1,2.3,1h 30m
145. Undercover,7.2,3.8,1h 40m
146. The Inheritance,4.7,2.8,1h 25m
147. Reawakening,6.2,292,1h 30m
148. Electra,7.4,26,1h 25m
149. Dead Sea,5.3,5.3,1h 28m
150. V/H/S/Beyond,5.8,9.2,1h 54m
151. Sting,5.7,16000,1h 31m
152. Bring Them Down,6.8,876,1h 46m
153. Bad Genius,6.2,2.1,1h 36m
154. Mea Culpa,4.2,7000,2h
155. Bramayugam,7.8,14000,2h 19m
156. Hold Your Breath,5.3,8.4,1h 34m
157. The Exorcism,4.2,11000,1h 35m
158. Depravity,4.3,932,1h 57m
159. The Painter,4.7,2.2,1h 40m
160. No Way Up,4.6,10000,1h 30m
161. The Redemption of Sin,6,153,1h 56m
162. Damaged,4.7,7.2,1h 37m
163. Red Right Hand,5.5,5.8,1h 51m
164. Blood Star,6.3,2.2,1h 37m
165. Night Swim,4.7,27000,1h 38m
166. Imaginary,4.7,17000,1h 44m
167. Sumala,5.8,802,1h 52m
168. Colors of Evil: Red,6.4,8.3,1h 51m
169. Footage,5.7,2.4,2h 4m
170. 11 Rebels,6.2,291,2h 35m
171. Outside,5.1,4.5,2h 22m
172. Outbreak,4.4,815,1h 28m
173. Waves,8.1,1.5,2h 11m
174. Breathe,4.2,7000,1h 33m
175. Sons,6.5,1.6,1h 40m
176. Sector 36,7.1,25000,2h 3m
177. River of Blood,5.4,1.6,1h 26m
178. The One That Got Away,5.8,8,56m
179. Last Night on Earth,4.8,339,1h 26m
180. Clear Cut,3.7,541,1h 28m
181. She's Obsessed with My Husband,5,228,1h 28m
182. Tyler Perry's Divorce in the Black,4.6,3.5,2h 23m
183. The Windigo,4.7,681,1h 25m
184. I Heard You Buy Souls,2.2,33,1h 28m
185. Goldilocks and the Three Bears: Death and Porridge,2.2,1.5,1h 22m
186. Relay,7.4,98,1h 52m
187. Dominique,5.2,2.1,1h 40m
188. Code 8: Part II,5.7,16000,1h 40m
189. Steppenwolf,6.5,247,1h 42m
190. Detained,4.9,1.5,1h 37m
191. Prey,3.7,3.2,1h 26m
192. Here Now,4.9,343,1h 58m
193. Crosspoint,7.2,30,1h 40m
194. Cold Wallet,5.2,421,1h 33m
195. The Thundermans Return,5,1.8,1h 10m
196. Mother Father Sister Brother Frank,5.9,209,1h 25m
197. Lake George,6.3,864,1h 58m
198. Lembayung,6,670,2h 3m
199. Something in the Water,4.1,4.5,1h 26m
"200. I, the Executioner",6.3,1.6,1h 58m
201. Night Call,6.8,1.8,1h 37m
202. Raqa,5.9,119,1h 47m
203. Arena Wars,4.9,2000,1h 36m
204. Jacob Tyler,4.7,47,2h 13m
205. Darkest Miriam,6.9,30,1h 27m
206. Fear,8.5,2.8,1h 55m
207. The Company Called Glitch That Nobody and Everybody Wanted,6.9,181,1h 47m
208. The Price of Money: A Largo Winch Adventure,5,1.1,1h 40m
209. Shaitaan,6.5,54000,2h 12m
210. Death Whisperer 2,6.4,1.3,1h 50m
211. The Sand Castle,4.7,1.6,1h 38m
212. The Roundup: Punishment,6.6,5.1,1h 49m
213. Bosco,5.6,3.9,1h 39m
214. Joe Baby,7.6,29,1h 26m
215. Maharaj,6.5,15000,2h 11m
216. Everyone Is Going to Die,5.7,80,1h 24m
217. The Image of You,4.6,799,1h 30m
218. Sikandar Ka Muqaddar,6,24000,2h 22m
219. Uprising,6.6,5.3,2h 6m
220. Mørkeland,6.2,912,1h 39m
221. House of Spoils,5,3.7,1h 41m
222. Way Home,6.7,693,1h 38m
223. Do Patti,6.4,68000,2h 6m
224. Bougainvillea,6.4,3000,2h 18m
225. Seven Cemeteries,4.5,519,1h 24m
226. The Soul Eater,5.9,2.5,1h 48m
227. Taboo: Family Secrets,7.9,731,1h 35m
228. Viduthalai Part 2,8,16000,2h 50m
229. The Body,6.1,160,1h 56m
230. Badland Hunters,5.9,12000,1h 47m
231. The Kingdom,7,661,1h 52m
232. Devara Part 1,6,20000,2h 56m
233. Trapped Inn,2.8,893,1h 55m
234. Bogota: City of the Lost,5.4,1.8,1h 48m
235. Shell,6.6,67,1h 40m
236. Bedspacer,4.4,334,1h 30m
237. Shelby Oaks,6,239,1h 39m
