Title,Rating,Votes,Duration
115. Kvitebjørn,5.9,52,1h 25m
116. Tay 2: Ebabil Takimi,5.5,35,1h 18m
117. Mariposas Negras,7,47,1h 23m
118. Kizumonogatari: Koyomi Vamp,7,81,2h 24m
119. Living Large,7.7,101,1h 20m
120. Goldbeak,4.9,126,1h 34m
121. Dead Dead Demon's Dededede Destruction,7,139,2h
122. Le parfum d'Irak,8.1,38,1h 35m
123. Tri kota. Zimnie kanikuly,6.1,27,1h 5m
124. My Redneck Neighbor: Chapter 2 - Let the Games Begin,N/A,N/A,55m
125. Cille 2069,7.1,90,N/A
126. Monkey King: The Beginning,N/A,N/A,N/A
127. Schirkoa: In Lies We Trust,5.6,154,1h 43m
128. Luntik. Vozvrashchenie domoy,6.4,73,TV-Y
129. Olivia & the Clouds,7.2,44,1h 21m
130. The Storm,6.1,137,1h 42m
131. Hola Frida,7.4,22,1h 22m
132. Captain Avispa,5.8,172,1h 36m
133. The Worlds Divide,8,36,2h
134. Bocchi the Rock! Re: Re:,7.9,87,1h 17m
135. Slocum et moi,7.4,65,1h 15m
136. Peppa's Cinema Party,5,153,1h 5m
137. Angelo dans la forêt mystérieuse,6,108,1h 21m
138. Fureru,6.4,23,1h 47m
139. Isla Monstro,N/A,N/A,N/A
140. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.8,14,1h 30m
141. The Proud Princess,7.2,100,1h 24m
142. Boonie Bears: Time Twist,6,162,1h 45m
143. SuperKlaus,4.3,196,1h 28m
144. Yumi's Cells: The Movie,6.2,48,1h 33m
145. Dinosaur Empire,N/A,N/A,N/A
146. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8,28,1h 11m
147. Dragon Ball Z Kai,8.4,66,1h 22m
148. Si Juki the Movie: Harta Pulau Monyet,6,115,1h 47m
149. Trapezium,6.4,138,1h 42m
150. Nie Xiaoqian,6.4,16,1h 52m
151. Appu,8.6,181,1h 32m
152. Masha i Medved v kino: Park chudes,7,16,58m
153. Askepote,3.5,80,1h 12m
154. Rocky and Bullwinkle,9.7,11,1h 40m
155. The Summer of Mermaid,9.1,95,N/A
156. Il segreto di Liberato,7.3,212,1h 30m
157. Mochi-chon,8.7,7,N/A
158. Transformers: 40th Anniversary Event,7.2,28,1h 36m
159. Adventures of Mickey Sherlock Mouse & Winnie the Pooh,5.4,10,N/A
160. Quo Vadis,6.6,330,1h 30m
161. PAPmusic - Animation for Fashion,1,128,1h 25m
162. Teacher's Pet,5.5,34,N/A
163. Norbert,6.6,11,1h 15m
